param_0, param_1, param_2, param_3, param_4, param_5, TE0, TE1, TE2
4.6368e-07,4.3744e-07,1.3499e-07,7.2069e-07,7.4523e-07,4.5291e-07,0.9675,0.0259,0.0002
1.1946e-07,4.4871e-07,9.2727e-07,4.2423e-07,7.1885e-07,1.1595e-06,0.6735,0.0034,0.2676
4.3787e-07,2.7139e-07,1.6745e-07,7.8088e-07,1.2715e-06,8.0169e-07,0.0349,0.9354,0.0208
6.9411e-07,2.7239e-07,1.3449e-07,1.5027e-06,1.1829e-06,1.0261e-06,0.0006,0.1198,0.7382
4.5955e-07,3.4460e-07,1.8490e-07,7.3244e-07,7.4004e-07,4.6594e-07,0.9876,0.0063,0.0018
6.9411e-07,1.7733e-07,1.3306e-07,1.4566e-06,1.1824e-06,1.0160e-06,0.0002,0.1805,0.6679
4.6254e-07,3.8553e-07,1.3493e-07,7.2895e-07,6.8936e-07,5.2321e-07,0.9188,0.0622,0.0107
6.9411e-07,1.8314e-07,1.3306e-07,7.3033e-07,1.1829e-06,1.0129e-06,0.0866,0.0828,0.6228
4.4838e-07,3.8486e-07,3.9980e-07,3.0370e-07,1.0753e-06,9.9543e-07,0.1561,0.1079,0.5926
4.6889e-07,3.4537e-07,1.3309e-07,1.4688e-06,1.1539e-06,9.2069e-07,0.0126,0.5231,0.3890
4.3689e-07,3.1811e-07,4.0535e-07,3.0116e-07,1.0911e-06,8.3630e-07,0.1684,0.2864,0.5073
4.6126e-07,3.4472e-07,1.4980e-07,7.3835e-07,5.3443e-07,5.5220e-07,0.7046,0.2075,0.0590
4.4838e-07,3.6592e-07,4.0029e-07,3.0370e-07,1.0756e-06,8.4340e-07,0.1903,0.3141,0.4750
4.3787e-07,2.7139e-07,1.6745e-07,7.8088e-07,1.3604e-06,8.0169e-07,0.0329,0.9113,0.0306
4.3689e-07,3.8800e-07,4.0029e-07,3.0370e-07,1.0911e-06,8.3236e-07,0.2061,0.3421,0.4358
4.3740e-07,3.9612e-07,3.4848e-07,3.5952e-07,1.0696e-06,8.3159e-07,0.2228,0.4544,0.3109
2.7974e-07,5.6743e-07,8.0208e-07,4.9421e-07,7.8091e-07,4.7115e-07,0.6498,0.2191,0.0702
5.7858e-07,2.7975e-07,1.0379e-07,8.2822e-07,1.1910e-06,8.4138e-07,0.0593,0.7064,0.2039
3.9175e-07,3.4438e-07,1.6065e-07,7.2733e-07,9.3545e-07,8.9606e-07,0.4019,0.4351,0.1519
4.6254e-07,3.8337e-07,1.3493e-07,7.2895e-07,7.5551e-07,5.2321e-07,0.9663,0.0279,0.0022
4.6694e-07,4.4062e-07,1.4532e-07,1.5341e-06,1.2201e-06,9.9224e-07,0.0344,0.4973,0.3574
4.8510e-07,2.7239e-07,1.1399e-07,8.0939e-07,1.1642e-06,7.9726e-07,0.1182,0.7903,0.0873
2.6609e-07,3.6325e-07,8.0290e-07,4.9492e-07,1.2232e-06,9.8914e-07,0.3546,0.1394,0.4167
4.6368e-07,3.8450e-07,1.9273e-07,7.2181e-07,7.4523e-07,8.6475e-07,0.5361,0.3480,0.1061
5.0530e-07,3.4472e-07,1.3523e-07,7.2898e-07,1.1939e-06,9.0034e-07,0.0808,0.5942,0.2889
4.6223e-07,2.9253e-07,1.3492e-07,3.9290e-07,7.2614e-07,5.1985e-07,0.7784,0.1651,0.0430
4.6308e-07,4.3962e-07,1.7057e-07,3.9290e-07,7.2614e-07,4.3522e-07,0.8422,0.1277,0.0199
4.3787e-07,2.5033e-07,1.6716e-07,8.9485e-07,1.3604e-06,8.9632e-07,0.0244,0.8335,0.1232
4.3787e-07,2.5073e-07,1.6716e-07,7.2710e-07,1.3604e-06,8.9632e-07,0.0778,0.7152,0.1870
3.9010e-07,3.6105e-07,4.0029e-07,2.0091e-07,9.2150e-07,8.4510e-07,0.1016,0.6569,0.2232
5.7766e-07,2.7244e-07,1.0456e-07,8.2822e-07,1.1910e-06,1.0296e-06,0.0940,0.2050,0.5479
6.8393e-07,4.3698e-07,8.5827e-07,3.9460e-07,5.1501e-07,9.4896e-07,0.2910,0.2314,0.3382
3.9175e-07,4.4103e-07,8.6971e-07,7.2733e-07,9.6151e-07,8.9570e-07,0.5686,0.3169,0.1026
5.6314e-07,3.6825e-07,2.3550e-07,6.9905e-07,1.1824e-06,8.2128e-07,0.1745,0.6362,0.1731
6.9411e-07,1.7733e-07,1.3306e-07,1.4566e-06,1.1829e-06,1.0129e-06,0.0002,0.1880,0.6620
4.5955e-07,3.4460e-07,1.8490e-07,7.3614e-07,7.4004e-07,8.4826e-07,0.5352,0.3738,0.0802
4.5376e-07,2.8911e-07,1.3572e-07,9.0516e-07,7.5158e-07,7.1654e-07,0.7448,0.2005,0.0091
2.5006e-07,3.4491e-07,1.8641e-07,5.0500e-07,7.3892e-07,1.0277e-06,0.4326,0.2030,0.2502
6.2239e-07,4.9849e-07,1.0723e-07,5.2830e-07,8.5493e-07,8.1929e-07,0.2619,0.3325,0.2884
6.9163e-07,5.9643e-07,1.3667e-07,1.4485e-06,1.2023e-06,9.5375e-07,0.0020,0.3938,0.4856
4.3740e-07,3.8508e-07,3.9690e-07,8.7498e-07,1.0696e-06,8.3159e-07,0.2459,0.6722,0.0780
6.9411e-07,3.4339e-07,1.3449e-07,1.5027e-06,1.1829e-06,1.0261e-06,0.0007,0.1351,0.7172
4.3787e-07,2.5073e-07,1.6773e-07,7.9040e-07,1.3586e-06,8.5927e-07,0.0409,0.8506,0.0931
4.4832e-07,3.8504e-07,1.8641e-07,9.0247e-07,7.4055e-07,1.0277e-06,0.5052,0.1589,0.2285
4.6368e-07,3.8450e-07,1.9216e-07,7.2181e-07,7.4695e-07,9.6347e-07,0.4740,0.2724,0.2260
4.6368e-07,4.6789e-07,1.3649e-07,8.9234e-07,7.4574e-07,1.1317e-06,0.3734,0.1726,0.3220
3.0256e-07,3.2616e-07,1.7051e-07,4.1063e-07,1.3765e-06,8.5933e-07,0.1389,0.5664,0.2550
3.0256e-07,3.3922e-07,1.7051e-07,4.1063e-07,1.3765e-06,8.5933e-07,0.1422,0.5658,0.2503
6.9411e-07,3.0088e-07,1.3306e-07,9.2619e-07,1.1829e-06,1.0130e-06,0.0981,0.1527,0.5590
4.7349e-07,4.9849e-07,1.1399e-07,5.2830e-07,8.5493e-07,8.1929e-07,0.3222,0.3250,0.2628
